job name,job level,company name,city,area,country,skills
Education Counsellor - Australia (Pondok Indah),Mid-Senior level,IDP Education Ltd,Jakarta,Jakarta,Indonesia,Counseling Psychology+English+Visas
Education Counsellor / Consultant (UK) - Bandung,Entry level,IDP Education Ltd,,Greater Bandung,,Counseling Psychology+English
Senior Overseas Study Education Counselor (Manager) Jakarta,Full-time,CIE Central International Education,,Jakarta Metropolitan Area,,Command+English+Max
Overseas Study Education Counselor (Sales/Marketing) Pekanbaru,Full-time,CIE Central International Education,Pekanbaru,Riau,Indonesia,Command+Communication+English+Max
Overseas Study Education Counselor (Sales/Mktg) Solo / Surakarta,,CIE Central International Education,Surakarta,Central Java,Indonesia,Command+Communication+English+Max
Student Counselor Part Time - Onsite,Associate,Hacktiv8 Indonesia,Jakarta,Jakarta,Indonesia,Career Development+Coaching+Communication+Counseling+Counseling Psychology+English+Presentations+Psychology+Student Counseling+Teamwork
Overseas Study Education Counselor (Sales/Marketing) Batam,Full-time,CIE Central International Education,Batam,Riau Islands,Indonesia,Command+English+Max
Senior Overseas Study Education Counselor (Manager) Samarinda,Full-time,CIE Central International Education,Samarinda,East Kalimantan,Indonesia,English+Max
Education Counsellor / Consultant (Australia) - Medan,Mid-Senior level,IDP Education Ltd,,Greater Medan,,Counseling Psychology+English+Visas
Overseas Study Education Counselor (Sales/Marketing) Palembang,Full-time,CIE Central International Education,Palembang,South Sumatra,Indonesia,Communication+Max
Senior Overseas Study Education Counselor (Manager) Semarang,Full-time,CIE Central International Education,Semarang,Central Java,Indonesia,English+Max
Senior Overseas Study Education Counselor (Manager) Manado,Full-time,Cie Central International Education,Manado,North Sulawesi,Indonesia,Command+English+Max
Education Counsellor / Consultant (Australia) - Malang,Mid-Senior level,IDP Education Ltd,,Greater Malang,,Counseling Psychology+English+Visas
Senior Overseas Study Education Counselor (Manager) Makassar,Full-time,Cie Central International Education,Ujung Pandang,South Sulawesi,Indonesia,English+Max
