job name,job level,company name,city,area,country,skills
Digital Sales Associate,Entry level,Marriott International,Bintan,Riau Islands,Indonesia,Communication+Customer Satisfaction+Digital Sales+Direct Sales+Online Presence+Sales & Marketing
Representative-Sales,Entry level,Marriott Hotels,Manado,North Sulawesi,Indonesia,Sales & Marketing
Application Development Specialist,Mid-Senior level,Accenture Southeast Asia,Semarang,Central Java,Indonesia,ABAP+Application Development+Data Interfaces+Debugging+Development Tools+Legacy System Migration Workbench (LSMW)+SAP Products+SAP Script+Technical Specs
Academic Teacher,Entry level,Schoters,,Jakarta Metropolitan Area,,Biology+Economics+English+French+IELTS+Japanese+Mathematics+Physics+TOEIC+Teaching
Lecturer,Associate,Universitas Padjadjaran,Jatinangor,West Java,Indonesia,Amazon S3+IELTS+PIP+TOEFL+The Self Diagnosis Method (SDM)+Third Party Administration+University Lecturing+User Interface Design
Data Science Tutor,,Practicum USA,,Indonesia,,Python (Programming Language)+A/B Testing+Data Science+English+Matplotlib+Moderating+NumPy+Pandas (Software)+Plotly+SQL
Salesperson,,Kibarer Property,Denpasar,Bali,Indonesia,Business+Communication+Consultative Approach+Customer Relationship Management (CRM)+Identifying New Opportunities+Negotiation+Oral Communication+Sales+Sales Processes+Sales Target Management
Japanese Tutor,Entry level,Schoters,,Jakarta Metropolitan Area,,Japanese+Japanese Language Proficiency Test+Literature+Marking+Teaching+Translation
Solutions Architect,Mid-Senior level,NTT Ltd.,Jakarta,Jakarta,Indonesia,Architecture+Client Requirements+Communication+Customer Engagement+Data Architecture+Industry standards+Needs Assessment+Non-Functional Requirements+Presales Technical Support+Product Demonstration
Creative Hacknology Intensive Program (CHIP #11),Entry level,PT Bank BTPN Tbk,Jakarta Selatan,Jakarta,Indonesia,Cascading Style Sheets (CSS)+JavaScript+Computer Science+Databases+Full-Stack Development+HTML+React.js+Test-Driven Development
Technical Product Manager – ML (Bangkok based, relocation provided),Director,Agoda,,Jakarta Metropolitan Area,,Communication+Concept to Launch+Creative Ideation+Data Analytics+Data Science+Organization Skills+Presentations+Product Management+Product Requirements+Team Alignment
Biology Teacher,Associate,CT ARSA FOUNDATION,Purworejo,Central Java,Indonesia,Biology+SMA+TOEFL+Teaching
Online Education Consultant for Highschool (Indonesia),Mid-Senior level,TELUS International,,Indonesia,,Biology+Chemistry+Customer Service+Mathematics+Physics+Research Skills+Teacher Training+Teaching
Solutions Architect,Entry level,Astra Financial,,Jakarta,Indonesia,Ansible+Application Architecture+Continuous Integration (CI)+Git+IT Integration+Jenkins+Jira+Solution Architecture+Technical Architecture+Terraform
Cybersecurity Sales Specialist,Entry level,NTT Ltd.,Jakarta,Jakarta,Indonesia,C-Level+Customer Engagement+Customer-Focused Selling+Gap Analysis+Negotiation+Sales Presentations+Sales Processes+Solution Selling
