job name,job level,company name,city,area,country,skills
High School Mathematics Teacher,,Stella Gracia School,Pekanbaru,Riau,Indonesia,Algebra+Classroom Instruction+Communication+Curriculum Development+English+Geometry+Interpersonal Communication+Lesson Planning+Mathematics
Yoga & Gym Instructor,Mid-Senior level,The Ritz-Carlton Hotel Company, L.L.C.,Lannyna,Papua,Indonesia,Coaching+Communication+Fitness Industry+Fitness Instruction+Fitness Training+Personal Training+Sports Coaching
Lecturer,Associate,Universitas Padjadjaran,Jatinangor,West Java,Indonesia,Amazon S3+IELTS+PIP+TOEFL+The Self Diagnosis Method (SDM)+Third Party Administration+University Lecturing+User Interface Design
Health Club Instructor - Grand Hyatt Jakarta ,Mid-Senior level,Grand Hyatt,Jakarta,Jakarta,Indonesia,Branding+Coaching+Communication+Corporate Strategy+Equipment Maintenance+Interpersonal Skills+STAR+Service Orientation (Social)+Teaching+Teamwork
Lecturer in Informatics - Universitas Multimedia Nusantara,Mid-Senior level,KOMPAS GRAMEDIA,Tangerang,Banten,Indonesia,Communication+Communication Training+Computer Science+English+IELTS+Information Technology+Information and Communications Technology (ICT)+Teaching+Teamwork+University Teaching
Data Science Tutor,,Practicum USA,,Indonesia,,Python (Programming Language)+A/B Testing+Data Science+English+Matplotlib+Moderating+NumPy+Pandas (Software)+Plotly+SQL
Japanese Tutor,Entry level,Schoters,,Jakarta Metropolitan Area,,Japanese+Japanese Language Proficiency Test+Literature+Marking+Teaching+Translation
Biology Teacher,Associate,CT ARSA FOUNDATION,Purworejo,Central Java,Indonesia,Biology+SMA+TOEFL+Teaching
TikTok E-commerce - Global Trainer,,TikTok,Jakarta,Jakarta,Indonesia,Booklets+Customer Satisfaction+Daily Reports+Development Programs+Facilitation+Interpersonal Communication+Product Knowledge+Technical Specs+Training Delivery+Training Plans
Lecturer in Information System - Universitas Multimedia Nusantara,Mid-Senior level,KOMPAS GRAMEDIA,Tangerang,Banten,Indonesia,Android+Android Development+Android Studio+Communication+English+IELTS+Information and Communications Technology (ICT)+Statutory Accounting Principles (SAP)+Teaching+University Teaching
Lecturer in Computer Engineering - Universitas Multimedia Nusantara,Mid-Senior level,KOMPAS GRAMEDIA,Tangerang,Banten,Indonesia,Communication+Communication Training+Computer Engineering+English+IELTS+Information Technology+Information and Communications Technology (ICT)+Signal+Teaching+University Teaching
Web Development Lecturer - BSD,Mid-Senior level,Purwadhika Digital Technology School,Tangerang,Banten,Indonesia,JavaScript+Agile Software Development+Critical Thinking+ECMAScript+Query Languages+React.js+Rendering+SASS+Search Engine Optimization (SEO)+Server Side
Professor De Enfermagem De Ensino Superior,Mid-Senior level,Divulga Vagas,Natal,North Sumatra,Indonesia,Curriculum Development+Higher Education+Nursing+Nursing Education+Patient Advocacy+Teaching
Conferente De Carga E Descarga - Indústria De Panificação (Parnamirim/RN),Mid-Senior level,RH Ser Consultoria Empresarial,Natal,North Sumatra,Indonesia,Christmas+Communication+Computer Literacy+Easily Adaptable+Inventory Control+Procedural Programming+Spreadsheets+Stock Control+Teamwork+Unloading
UI/UX Lecturer - Surabaya,Entry level,Purwadhika Digital Technology School,Surabaya,East Java,Indonesia,Analytical Skills+Communication+Concept Generation+Technology Trends+Usability+Usability Testing+User Experience (UX)+User Experience Design (UED)+User Interface Design+User Research
